geoid,geoid20,year,denom_total_pop,traffic_impacts,traffic_impacts_pctile
1400000US06037980023,6037980023,2021,0,0,1
1400000US06037206020,6037206020,2021,8947,1951.41,77
1400000US06037401901,6037401901,2021,3945,595.72998,13
1400000US06037980002,6037980002,2021,0,0,1
1400000US06037207400,6037207400,2021,1539,1934.59,77
1400000US06037980004,6037980004,2021,0,0,1
1400000US06037901210,6037901210,2021,1631,114.63,2
1400000US06037577504,6037577504,2021,1378,281.39999,3
1400000US06037980033,6037980033,2021,16,1313.6899,63
1400000US06037980007,6037980007,2021,0,0,1
1400000US06037430200,6037430200,2021,1026,496.78,8
1400000US06037670500,6037670500,2021,1513,1016.68,45
1400000US06037578100,6037578100,2021,2409,1306.87,63
1400000US06037577604,6037577604,2021,1367,1256.17,61
1400000US06037980034,6037980034,2021,9,1351.61,65
1400000US06037920050,6037920050,2021,1280,141.03999,2
1400000US06037980020,6037980020,2021,0,0,1
1400000US06037265304,6037265304,2021,2878,720.90997,21
1400000US06037980011,6037980011,2021,93,1586.6801,71
1400000US06037980028,6037980028,2021,0,0,1
1400000US06037265303,6037265303,2021,5156,756.29999,24
1400000US06037265301,6037265301,2021,11977,1088.75,51
1400000US06037980005,6037980005,2021,0,0,1
1400000US06037901003,6037901003,2021,4895,0,1
1400000US06037980014,6037980014,2021,9,1134.1899,55
1400000US06037980010,6037980010,2021,95,2864.3501,91
1400000US06037980026,6037980026,2021,26,0,1
1400000US06037670405,6037670405,2021,2864,655.94,16
1400000US06037980008,6037980008,2021,68,1146.65,55
1400000US06037980001,6037980001,2021,0,0,1
1400000US06037980003,6037980003,2021,0,0,1
1400000US06037115103,6037115103,2021,3381,836.66998,30
1400000US06037920200,6037920200,2021,5393,2703.3999,89
1400000US06037980012,6037980012,2021,31,902.45001,36
1400000US06037224701,6037224701,2021,2311,2794.6499,90
1400000US06037980009,6037980009,2021,5,4744.3398,99
1400000US06037574602,6037574602,2021,1291,1499.03,70
1400000US06037222700,6037222700,2021,4115,2183.6299,82
1400000US06037980024,6037980024,2021,223,4402.3701,99
1400000US06037980030,6037980030,2021,0,0,1
1400000US06037224702,6037224702,2021,3881,2794.6499,90
1400000US06037980013,6037980013,2021,0,0,1
1400000US06037980006,6037980006,2021,0,0,1
1400000US06037402404,6037402404,2021,1819,2749.48,89
1400000US06037980031,6037980031,2021,1236,1067.34,50
1400000US06037577501,6037577501,2021,3370,857.45001,32
1400000US06037980017,6037980017,2021,1187,3702.6201,97
1400000US06037460401,6037460401,2021,1171,628.91998,15
1400000US06037620001,6037620001,2021,4251,1375.58,66
1400000US06037574901,6037574901,2021,3697,1010.35,45
1400000US06037480500,6037480500,2021,5108,759.97998,24
1400000US06037262802,6037262802,2021,3424,1056.16,49
1400000US06037191902,6037191902,2021,2788,1539.6899,70
1400000US06037463500,6037463500,2021,5982,674.03003,18
1400000US06037480703,6037480703,2021,3612,573.78003,11
1400000US06037108104,6037108104,2021,1836,136.35001,2
1400000US06037106603,6037106603,2021,2126,2843.23,91
1400000US06037462600,6037462600,2021,2152,460.20001,7
1400000US06037135201,6037135201,2021,2788,722.35999,21
1400000US06037460502,6037460502,2021,4277,1131.16,55
1400000US06037221900,6037221900,2021,4248,1075.6899,50
1400000US06037460002,6037460002,2021,1025,436.69,6
1400000US06037460001,6037460001,2021,3396,436.69,6
1400000US06037401001,6037401001,2021,3062,253.83,3
1400000US06037501501,6037501501,2021,2272,552.40002,10
1400000US06037620904,6037620904,2021,2897,489.44,8
1400000US06037980019,6037980019,2021,209,408.25,5
1400000US06037650501,6037650501,2021,3044,1835.5601,75
1400000US06037800335,6037800335,2021,5623,1034.09,47
1400000US06037910815,6037910815,2021,5865,1781.5,74
1400000US06037670406,6037670406,2021,1759,517.69,9
1400000US06037194401,6037194401,2021,2391,1296.26,63
1400000US06037910809,6037910809,2021,1661,1711.3,73
1400000US06037431002,6037431002,2021,3165,609.19,14
1400000US06037620303,6037620303,2021,4502,888.87,35
1400000US06037464200,6037464200,2021,5995,613.97998,14
1400000US06037139802,6037139802,2021,4126,343.14999,4
1400000US06037980015,6037980015,2021,707,1559.45,70
1400000US06037481713,6037481713,2021,2736,581,12
1400000US06037301206,6037301206,2021,5281,741.70001,23
1400000US06037920049,6037920049,2021,4542,515.21997,9
1400000US06037191901,6037191901,2021,3060,1457.24,68
1400000US06037297602,6037297602,2021,3687,389.70001,5
1400000US06037208501,6037208501,2021,2267,1023.81,46
1400000US06037571800,6037571800,2021,3373,2758.78,89
1400000US06037113301,6037113301,2021,3509,1259.89,61
1400000US06037401303,6037401303,2021,2033,3812.23,97
1400000US06037980022,6037980022,2021,416,2217.71,82
1400000US06037920016,6037920016,2021,3509,636.71002,15
1400000US06037109200,6037109200,2021,2426,2217.71,82
1400000US06037189400,6037189400,2021,3164,0,1
1400000US06037300503,6037300503,2021,3843,1268.13,62
1400000US06037137301,6037137301,2021,2271,347.22,4
1400000US06037910216,6037910216,2021,4864,793.54999,27
1400000US06037120030,6037120030,2021,2800,1436.11,68
1400000US06037194102,6037194102,2021,3189,1025.26,46
1400000US06037261102,6037261102,2021,3520,645.95001,16
1400000US06037212410,6037212410,2021,4318,983.73999,42
1400000US06037195100,6037195100,2021,4978,987.97998,43
1400000US06037404501,6037404501,2021,2789,676.03003,18
1400000US06037272202,6037272202,2021,3359,879.76001,34
1400000US06037650702,6037650702,2021,4731,820.90997,29
1400000US06037700801,6037700801,2021,4610,1042.97,48
1400000US06037432102,6037432102,2021,5951,611.91998,14
1400000US06037408703,6037408703,2021,6545,2326.75,84
1400000US06037432902,6037432902,2021,3312,2182.8101,82
1400000US06037400801,6037400801,2021,8709,585.40997,12
1400000US06037700802,6037700802,2021,4092,1135.54,55
1400000US06037400404,6037400404,2021,4268,255.06,3
1400000US06037408623,6037408623,2021,3268,4047.3999,98
1400000US06037121801,6037121801,2021,3127,741.58002,23
1400000US06037621102,6037621102,2021,3069,1183.61,57
1400000US06037400208,6037400208,2021,616,1251.6801,61
1400000US06037400209,6037400209,2021,5021,1251.6801,61
1400000US06037267404,6037267404,2021,3475,1130.11,54
1400000US06037910814,6037910814,2021,3968,3855.1101,97
1400000US06037408627,6037408627,2021,3003,521.06,9
1400000US06037297202,6037297202,2021,3786,327.31,4
1400000US06037800325,6037800325,2021,3573,1331.0601,64
1400000US06037800406,6037800406,2021,2529,322.70001,4
1400000US06037920110,6037920110,2021,3116,908.90997,36
1400000US06037573003,6037573003,2021,1843,914.84003,37
1400000US06037503704,6037503704,2021,4345,951.57001,40
1400000US06037195202,6037195202,2021,3304,847.32001,31
1400000US06037216302,6037216302,2021,2432,1253.14,61
1400000US06037216301,6037216301,2021,1935,1253.14,61
1400000US06037262706,6037262706,2021,3571,1359.66,65
1400000US06037262100,6037262100,2021,2678,1082.78,51
1400000US06037275311,6037275311,2021,5462,1148.39,56
1400000US06037462900,6037462900,2021,3759,1549.17,70
1400000US06037300702,6037300702,2021,5430,871.78998,33
1400000US06037503705,6037503705,2021,3417,948.08002,40
1400000US06037408402,6037408402,2021,6646,3106,93
1400000US06037273700,6037273700,2021,2895,1151.58,56
1400000US06037276500,6037276500,2021,5674,880.40997,34
1400000US06037620301,6037620301,2021,4819,775.64001,26
1400000US06037571300,6037571300,2021,4484,1060.0699,49
1400000US06037620522,6037620522,2021,5024,1448.6801,68
1400000US06037463800,6037463800,2021,4087,1621.04,72
1400000US06037207101,6037207101,2021,3717,2813.6399,90
1400000US06037300501,6037300501,2021,3092,1473.65,69
1400000US06037503402,6037503402,2021,4185,1156.85,56
1400000US06037265100,6037265100,2021,2454,1420.14,67
1400000US06037621001,6037621001,2021,4476,1606.4,71
1400000US06037551201,6037551201,2021,3272,955.76001,40
1400000US06037262501,6037262501,2021,3785,981.40997,42
1400000US06037573800,6037573800,2021,4309,876.32001,33
1400000US06037123601,6037123601,2021,4803,902.90002,36
1400000US06037534002,6037534002,2021,4628,609.34003,14
1400000US06037570800,6037570800,2021,5300,1014.14,45
1400000US06037430801,6037430801,2021,6978,1391.03,66
1400000US06037620400,6037620400,2021,5279,1511.03,70
1400000US06037430302,6037430302,2021,5339,471.57001,7
1400000US06037139301,6037139301,2021,4445,2934.1201,92
1400000US06037620701,6037620701,2021,7211,1254.58,61
1400000US06037910808,6037910808,2021,3445,1754.51,74
1400000US06037480704,6037480704,2021,4619,847.32001,31
1400000US06037482001,6037482001,2021,2650,1495.65,69
1400000US06037574500,6037574500,2021,6631,2333.01,84
1400000US06037269300,6037269300,2021,3840,1912.89,77
1400000US06037271702,6037271702,2021,3918,6408.0801,100
1400000US06037433803,6037433803,2021,610,2471.95,86
1400000US06037139701,6037139701,2021,5320,3698.4099,97
1400000US06037650502,6037650502,2021,4259,794.35999,27
1400000US06037113232,6037113232,2021,4315,1108.75,53
1400000US06037195300,6037195300,2021,3089,1000.75,44
1400000US06037500204,6037500204,2021,5351,737.19,22
1400000US06037530203,6037530203,2021,2728,2532.53,87
1400000US06037500203,6037500203,2021,1877,737.19,22
1400000US06037404302,6037404302,2021,2176,2090.3799,80
1400000US06037143101,6037143101,2021,3385,2629.49,88
1400000US06037269905,6037269905,2021,2459,1199.11,58
1400000US06037143102,6037143102,2021,967,2629.49,88
1400000US06037461902,6037461902,2021,1801,1237.0699,60
1400000US06037430721,6037430721,2021,3963,1610.85,72
1400000US06037920338,6037920338,2021,5711,0,1
1400000US06037113235,6037113235,2021,1824,237.67999,3
1400000US06037141202,6037141202,2021,2674,772.53998,25
1400000US06037920330,6037920330,2021,3178,1950.09,77
1400000US06037408212,6037408212,2021,5042,1971.09,78
1400000US06037700102,6037700102,2021,4506,1392.3199,66
1400000US06037300601,6037300601,2021,3100,1047.73,48
1400000US06037534101,6037534101,2021,2358,3653.6001,97
1400000US06037462202,6037462202,2021,2775,2127.0701,81
1400000US06037300602,6037300602,2021,6655,1026.7,46
1400000US06037920039,6037920039,2021,2191,1924.25,77
1400000US06037139402,6037139402,2021,2899,3094.1201,93
1400000US06037462400,6037462400,2021,3944,700.25,20
1400000US06037310400,6037310400,2021,3247,1683.2,73
1400000US06037102104,6037102104,2021,3721,3124.6399,93
1400000US06037650101,6037650101,2021,6018,2600.25,88
1400000US06037276601,6037276601,2021,4115,1097.11,52
1400000US06037190701,6037190701,2021,1849,1400.54,67
1400000US06037190702,6037190702,2021,836,1400.54,67
1400000US06037460501,6037460501,2021,5544,159.92,2
1400000US06037555300,6037555300,2021,6119,1470.84,69
1400000US06037621400,6037621400,2021,4305,878.02002,33
1400000US06037265201,6037265201,2021,2567,1363,65
1400000US06037431600,6037431600,2021,4478,442.12,6
1400000US06037214600,6037214600,2021,2383,1378.02,66
1400000US06037407701,6037407701,2021,4945,1129.36,54
1400000US06037141303,6037141303,2021,3477,5552.8198,100
1400000US06037406601,6037406601,2021,5550,409.32999,6
1400000US06037481404,6037481404,2021,3684,1046.12,48
1400000US06037301205,6037301205,2021,2106,397.98001,5
1400000US06037577400,6037577400,2021,2947,467.56,7
1400000US06037407702,6037407702,2021,6744,913.31,37
1400000US06037481403,6037481403,2021,2914,1046.12,48
1400000US06037203710,6037203710,2021,3270,1116.54,53
1400000US06037212900,6037212900,2021,4067,1102.41,52
1400000US06037408629,6037408629,2021,3012,902.20001,36
1400000US06037400605,6037400605,2021,5539,431.04001,6
1400000US06037310201,6037310201,2021,5732,165.02,2
1400000US06037700101,6037700101,2021,5200,1361.89,65
1400000US06037401304,6037401304,2021,4647,960.54999,41
1400000US06037701501,6037701501,2021,5267,701.84998,20
1400000US06037273800,6037273800,2021,2872,1034.5699,47
1400000US06037143401,6037143401,2021,4453,3503.52,96
1400000US06037143402,6037143402,2021,2602,3503.52,96
1400000US06037551300,6037551300,2021,5449,1084.67,51
1400000US06037403324,6037403324,2021,6117,1194.24,58
1400000US06037262400,6037262400,2021,3059,866.5,33
1400000US06037212502,6037212502,2021,2810,1206.34,59
1400000US06037264306,6037264306,2021,1241,772.75,25
1400000US06037272302,6037272302,2021,4457,838.76001,31
1400000US06037408722,6037408722,2021,4313,587.76001,12
1400000US06037265204,6037265204,2021,1836,2013.77,79
1400000US06037301802,6037301802,2021,4516,950.42999,40
1400000US06037701502,6037701502,2021,3530,893.08002,35
1400000US06037265203,6037265203,2021,2145,2013.77,79
1400000US06037408626,6037408626,2021,4037,1022.53,46
1400000US06037264305,6037264305,2021,4682,771.20001,25
1400000US06037271500,6037271500,2021,3187,825.41998,30
1400000US06037460200,6037460200,2021,5861,236.22,3
1400000US06037534001,6037534001,2021,5125,761.97998,24
1400000US06037980035,6037980035,2021,7011,1993.47,79
1400000US06037700200,6037700200,2021,7446,1507.22,70
1400000US06037920013,6037920013,2021,7199,1331.6899,64
1400000US06037187101,6037187101,2021,3438,2339.1001,84
1400000US06037408213,6037408213,2021,1255,2167.3999,82
1400000US06037500403,6037500403,2021,3670,4351.54,99
1400000US06037139502,6037139502,2021,2917,2134.8,81
1400000US06037408631,6037408631,2021,5214,2614.6699,88
1400000US06037211803,6037211803,2021,3701,1102.2,52
1400000US06037111201,6037111201,2021,3628,3092.1399,93
1400000US06037296402,6037296402,2021,3312,754.64001,24
1400000US06037670201,6037670201,2021,4090,1051.38,48
1400000US06037702201,6037702201,2021,4110,800.70001,28
1400000US06037262604,6037262604,2021,5523,947.84998,40
1400000US06037620901,6037620901,2021,2785,978.08002,42
1400000US06037433302,6037433302,2021,1513,3003.25,92
1400000US06037109300,6037109300,2021,2962,2777.3501,90
1400000US06037403902,6037403902,2021,5140,1491.47,69
1400000US06037301400,6037301400,2021,4190,231.38,3
1400000US06037262302,6037262302,2021,2845,3943.72,98
1400000US06037138000,6037138000,2021,4780,577.53003,12
1400000US06037480702,6037480702,2021,4284,987.51001,43
1400000US06037262301,6037262301,2021,2748,4359.1499,99
1400000US06037408724,6037408724,2021,5542,886.60999,34
1400000US06037133101,6037133101,2021,2449,1052.21,49
1400000US06037133102,6037133102,2021,3160,1052.21,49
1400000US06037408725,6037408725,2021,6286,838.69,31
1400000US06037980039,6037980039,2021,162,2560.3601,87
1400000US06037404401,6037404401,2021,3715,2902.47,91
1400000US06037405301,6037405301,2021,3442,517.42999,9
1400000US06037503602,6037503602,2021,4212,794.32001,27
1400000US06037211121,6037211121,2021,2253,1830.8,75
1400000US06037403320,6037403320,2021,4992,1062.3199,49
1400000US06037481712,6037481712,2021,5329,1587.91,71
1400000US06037271803,6037271803,2021,2234,1705.5,73
1400000US06037131900,6037131900,2021,4597,878.67999,34
1400000US06037271804,6037271804,2021,3410,1705.5,73
1400000US06037106643,6037106643,2021,4577,2144.8101,81
1400000US06037651401,6037651401,2021,2236,1137.4399,55
1400000US06037275500,6037275500,2021,5449,812.28998,28
1400000US06037408624,6037408624,2021,2958,1895.4,76
1400000US06037570003,6037570003,2021,4119,854.14001,32
1400000US06037214505,6037214505,2021,2546,1026.67,46
1400000US06037121221,6037121221,2021,2420,3028.1201,92
1400000US06037214504,6037214504,2021,2739,1026.67,46
1400000US06037577200,6037577200,2021,5848,895.60999,35
1400000US06037651001,6037651001,2021,5444,768.90997,25
1400000US06037127806,6037127806,2021,3293,1383.2,66
1400000US06037576904,6037576904,2021,3157,823.28003,29
1400000US06037214902,6037214902,2021,2550,1315.02,63
1400000US06037141400,6037141400,2021,5044,6163.27,100
1400000US06037311802,6037311802,2021,4068,1801.16,75
1400000US06037272100,6037272100,2021,4578,920.51001,38
1400000US06037501504,6037501504,2021,3369,629.01001,15
1400000US06037143700,6037143700,2021,3685,2540.6399,87
1400000US06037403802,6037403802,2021,6687,299.88,4
1400000US06037134421,6037134421,2021,4234,596.90002,13
1400000US06037111206,6037111206,2021,4379,2206.79,82
